id,from_node_id,to_node_id,distance_m,edge_type,walk_time_sec,is_bidirectional,wheelchair_accessible
1,1,2,3.0,CORRIDOR,50,1,1
7,2,8,7.0,CORRIDOR,90,1,1
8,2,9,9.0,CORRIDOR,110,1,1
9,2,10,7.0,CORRIDOR,90,1,1
14,12,16,9.0,CORRIDOR,110,1,1
15,12,17,9.0,CORRIDOR,110,1,1
16,12,18,7.0,CORRIDOR,90,1,1
17,12,19,9.0,CORRIDOR,110,1,1
18,12,20,7.0,CORRIDOR,90,1,1
12,12,14,4.0,CORRIDOR,60,1,1
22,21,25,7.0,CORRIDOR,90,1,1
23,21,26,7.0,CORRIDOR,90,1,1
24,21,27,9.0,CORRIDOR,110,1,1
25,21,28,7.0,CORRIDOR,90,1,1
29,29,33,7.0,CORRIDOR,90,1,1
30,29,34,7.0,CORRIDOR,90,1,1
31,29,35,9.0,CORRIDOR,110,1,1
32,29,36,7.0,CORRIDOR,90,1,1
33,37,38,4.0,CORRIDOR,60,1,1
34,38,39,8.0,CORRIDOR,100,1,1
38,38,43,8.0,CORRIDOR,100,1,1
39,38,44,4.0,CORRIDOR,60,1,1
40,39,44,4.0,CORRIDOR,60,1,1
41,44,40,5.0,CORRIDOR,70,1,1
42,8,18,5.0,STAIRS,30,1,0
43,18,26,5.0,STAIRS,30,1,0
44,26,34,5.0,STAIRS,30,1,0
45,9,19,5.0,ELEVATOR,45,1,1
46,19,27,5.0,ELEVATOR,45,1,1
47,27,35,5.0,ELEVATOR,45,1,1
48,10,20,5.0,ELEVATOR,45,1,1
49,20,28,5.0,ELEVATOR,45,1,1
50,28,36,5.0,ELEVATOR,45,1,1
51,2,45,3.0,CORRIDOR,50,1,1
52,45,46,4.0,CORRIDOR,60,1,1
53,45,47,4.0,CORRIDOR,60,1,1
54,46,3,4.0,CORRIDOR,60,1,1
55,46,4,4.0,CORRIDOR,60,1,1
56,46,5,4.0,CORRIDOR,60,1,1
57,47,6,4.0,CORRIDOR,60,1,1
58,47,7,4.0,CORRIDOR,60,1,1
59,47,11,4.0,CORRIDOR,60,1,1
60,16,13,4.0,CORRIDOR,60,1,1
61,17,15,4.0,CORRIDOR,60,1,1
62,16,14,6.0,CORRIDOR,80,1,1
63,17,14,6.0,CORRIDOR,80,1,1
64,25,22,4.0,CORRIDOR,60,1,1
65,25,23,4.0,CORRIDOR,60,1,1
66,25,24,4.0,CORRIDOR,60,1,1
67,33,30,4.0,CORRIDOR,60,1,1
68,33,31,4.0,CORRIDOR,60,1,1
69,33,32,4.0,CORRIDOR,60,1,1
70,38,48,3.0,CORRIDOR,50,1,1
71,48,40,4.0,CORRIDOR,60,1,1
72,48,41,4.0,CORRIDOR,60,1,1
73,48,42,4.0,CORRIDOR,60,1,1
